competent_seed_n,depth,difficulty_regime,final_test_accuracy_ci95_high,final_test_accuracy_ci95_low,final_test_accuracy_mean,final_test_loss_ci95_high,final_test_loss_ci95_low,final_test_loss_mean,final_val_accuracy_ci95_high,final_val_accuracy_ci95_low,final_val_accuracy_mean,final_val_loss_ci95_high,final_val_loss_ci95_low,final_val_loss_mean,learning_curve_auc_ci95_high,learning_curve_auc_ci95_low,learning_curve_auc_mean,reliably_competent,seed_n,sweep,training_seconds_ci95_high,training_seconds_ci95_low,training_seconds_mean,variant
5,16,low,0.9806667566299438,0.9406499862670898,0.9640000462532043,0.2242344617843628,0.0689685121178627,0.13436070084571838,0.999333381652832,0.9486666917800903,0.9800000190734863,0.15308770537376404,0.012458193115890026,0.06720173358917236,0.7731321454048157,0.7241360545158386,0.7511261701583862,True,5,difficulty,397.2508544921875,258.511474609375,327.88116455078125,baseline
5,16,low,0.9886667132377625,0.9459999799728394,0.9713333249092102,0.1934005618095398,0.04151628538966179,0.11436133086681366,0.9946666955947876,0.9399999380111694,0.972000002861023,0.1790347397327423,0.016097886487841606,0.08473289012908936,0.777053952217102,0.7207489013671875,0.7529895901679993,True,5,difficulty,229.27676391601562,110.65660095214844,154.7865447998047,gated
5,16,low,0.9893333315849304,0.9213333129882812,0.9626666903495789,0.2713088393211365,0.04473076015710831,0.13620582222938538,0.9979999661445618,0.9366666674613953,0.9726666212081909,0.18380238115787506,0.011240901425480843,0.08082547783851624,0.7803948521614075,0.7216693162918091,0.7550279498100281,True,5,difficulty,345.71893310546875,172.3177032470703,251.49362182617188,sa_ff_gated
5,16,low,0.9780000448226929,0.9493333697319031,0.9646666646003723,0.19117282330989838,0.06742674857378006,0.1265001893043518,0.9940000772476196,0.965999960899353,0.9800000190734863,0.12211551517248154,0.022688597440719604,0.07240206003189087,0.7709594964981079,0.7318834662437439,0.7518835067749023,True,5,difficulty,174.92178344726562,106.09852600097656,130.94540405273438,static_scale
5,16,medium,0.9873332977294922,0.9679999351501465,0.9793332815170288,0.0931357741355896,0.048572275787591934,0.06685972958803177,0.9946666955947876,0.9873332977294922,0.9906666874885559,0.03660597279667854,0.0180328618735075,0.027319416403770447,0.8128601312637329,0.7655478715896606,0.7951366901397705,True,5,difficulty,221.2899627685547,141.7135772705078,194.37692260742188,baseline
5,16,medium,0.9899999499320984,0.9706667065620422,0.9819999933242798,0.08778998255729675,0.036698512732982635,0.05678243562579155,0.9946666955947876,0.9866666793823242,0.9906666874885559,0.04785782843828201,0.021274400874972343,0.034086860716342926,0.818043053150177,0.7665859460830688,0.7987537384033203,True,5,difficulty,248.5255584716797,231.5333251953125,240.02517700195312,gated
5,16,medium,0.9899999499320984,0.972000002861023,0.9826666712760925,0.08151210099458694,0.03233351558446884,0.05618809536099434,0.9953333139419556,0.9913333654403687,0.9933333396911621,0.0364232212305069,0.013443052768707275,0.02389603480696678,0.8225948214530945,0.7772656679153442,0.8050481677055359,True,5,difficulty,296.9888610839844,253.9385986328125,277.2386169433594,sa_ff_gated
5,16,medium,0.9880000352859497,0.9726666212081909,0.9819999933242798,0.10386545956134796,0.047238048166036606,0.06953401863574982,0.9959999918937683,0.9873332977294922,0.9913333654403687,0.044821977615356445,0.014833921566605568,0.029827948659658432,0.8125799298286438,0.7665151357650757,0.7954393625259399,True,5,difficulty,259.7235107421875,229.4448699951172,244.58181762695312,static_scale
1,16,mixed,0.8773333430290222,0.7873333096504211,0.8286666870117188,0.8645231127738953,0.4873027801513672,0.6855052709579468,0.8986666798591614,0.8199999928474426,0.8579999804496765,0.6667410135269165,0.36215004324913025,0.5174638032913208,0.6209016442298889,0.5672621130943298,0.5940818786621094,False,5,difficulty,164.838134765625,94.9388656616211,131.60699462890625,baseline
2,16,mixed,0.859333336353302,0.7393333315849304,0.7986667156219482,1.0255141258239746,0.5610435605049133,0.7932788133621216,0.9114001393318176,0.8180000185966492,0.8646666407585144,0.7217028141021729,0.3394782245159149,0.5335239171981812,0.6213594675064087,0.5625966787338257,0.5919780135154724,False,5,difficulty,175.79916381835938,133.94943237304688,152.66183471679688,gated
1,16,mixed,0.8633333444595337,0.75,0.8006666302680969,1.043604850769043,0.5981987714767456,0.8209018707275391,0.9079999923706055,0.8006666898727417,0.8493334054946899,0.7962936758995056,0.35849669575691223,0.5821579694747925,0.6264234781265259,0.5656208395957947,0.5943365693092346,False,5,difficulty,114.32784271240234,93.70771789550781,104.01778411865234,sa_ff_gated
2,16,mixed,0.8853333592414856,0.7866666316986084,0.8360000848770142,0.899848461151123,0.40588539838790894,0.6581417918205261,0.9173333048820496,0.8212499618530273,0.8686666488647461,0.6663721203804016,0.2990541160106659,0.4891873896121979,0.6212299466133118,0.5668884515762329,0.59405916929245,False,5,difficulty,112.20541381835938,93.36894226074219,101.2586898803711,static_scale
