depth,difficulty_regime,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,seed,sweep,tokens_seen,training_seconds,training_steps,variant
16,mixed,0.7766666666666666,0.988841183980306,0.8366666666666667,0.6540537325541178,0.5651550576148494,44,depth,999048,123.37107279989868,456,static_scale
16,mixed,0.8866666666666667,0.4421696599324544,0.91,0.33277901490529377,0.6324002333554878,55,depth,999048,100.61918760021216,456,static_scale
16,high,0.99,0.0351419295867284,1.0,0.008479207853476207,0.7717435340039185,11,difficulty,924168,102.6592423999682,456,baseline
16,high,0.9933333333333332,0.0232466783126195,0.9966666666666667,0.015273567537466686,0.759299003716496,22,difficulty,924168,92.98014830006288,456,baseline
16,high,0.9966666666666668,0.0225412746270497,0.9933333333333333,0.02114936461051305,0.786377695036689,33,difficulty,924168,91.20084799989128,456,baseline
16,high,0.99,0.029251051445802,0.9966666666666667,0.013765772978464763,0.7865902105100661,44,difficulty,924168,95.60724150016904,456,baseline
16,high,0.99,0.0308440422018369,1.0,0.005218330224355062,0.8030879829208541,55,difficulty,924168,93.24976209993474,456,baseline
16,high,0.9933333333333332,0.0312566205859184,0.9966666666666667,0.010353677570819855,0.7674522399246312,11,difficulty,924168,97.0714523999486,456,gated
16,high,0.9833333333333332,0.0825388097763061,0.98,0.04598901708920797,0.7477539148726204,22,difficulty,924168,97.0629408999812,456,gated
16,high,0.9933333333333332,0.0317482011516888,1.0,0.008480157554149628,0.8019719610864403,33,difficulty,924168,98.43707460002042,456,gated
16,high,0.99,0.0270111697912216,0.99,0.026463137169679005,0.7773630822534431,44,difficulty,924168,100.94936350011268,456,gated
16,high,0.9933333333333332,0.026162122040987,0.9966666666666667,0.01158442219098409,0.7938997274665789,55,difficulty,924168,104.81832720013335,456,gated
16,high,0.9933333333333332,0.044770904580752,1.0,0.009542278150717417,0.7779568361308044,11,difficulty,924168,104.21266379998995,456,sa_ff_gated
16,high,0.9933333333333332,0.0445218604803085,0.9933333333333333,0.04093372106552124,0.7635707595011585,22,difficulty,924168,114.9804799000267,456,sa_ff_gated
16,high,0.9966666666666668,0.0177245117227236,0.9933333333333333,0.0191998291015625,0.8029148848838451,33,difficulty,924168,111.56951679987831,456,sa_ff_gated
16,high,0.99,0.0414023778835932,0.99,0.030210645099480946,0.7807272703664268,44,difficulty,924168,117.57700389996172,456,sa_ff_gated
16,high,0.99,0.0193395606676737,1.0,0.004802922159433365,0.7983312792335016,55,difficulty,924168,114.69514849991538,456,sa_ff_gated
16,high,0.9933333333333332,0.0302729745705922,1.0,0.00870991955200831,0.7755476890204667,11,difficulty,924168,98.60060989996418,456,static_scale
16,high,0.99,0.0281899384657541,0.9966666666666667,0.013243375966946283,0.7591549804797397,22,difficulty,924168,96.18585720006377,456,static_scale
16,high,0.9933333333333332,0.0269288762410481,0.9933333333333333,0.018073866963386535,0.7878435756990794,33,difficulty,924168,96.8304457999766,456,static_scale
16,high,0.9866666666666668,0.0383249254028002,0.99,0.030588787098725638,0.7829955195736416,44,difficulty,924168,92.68455319991337,456,static_scale
16,high,0.99,0.03201773583889,1.0,0.00529708981513977,0.8033803900733777,55,difficulty,924168,89.55324669997208,456,static_scale
16,low,0.97,0.1141643303632736,0.9966666666666667,0.02395949363708496,0.7688142283065138,11,difficulty,1062408,225.3636511999648,456,baseline
16,low,0.92,0.2985725212097168,0.92,0.23094812393188477,0.704885764226173,22,difficulty,1062408,225.5435695999768,456,baseline
16,low,0.98,0.0819281795620918,1.0,0.008506886462370555,0.7759079813656021,33,difficulty,1062408,390.74285069992766,456,baseline
16,low,0.9633333333333334,0.1435265572865804,0.9833333333333333,0.06193530797958374,0.7335074990022665,44,difficulty,1062408,398.81590860011056,456,baseline
16,low,0.9866666666666668,0.0336119319001833,1.0,0.010658849676450094,0.77251537074269,55,difficulty,1062408,398.93981959996745,456,baseline
16,low,0.9833333333333332,0.053004742860794,0.9966666666666667,0.017832326491673788,0.7780400451929327,11,difficulty,1062408,140.94898640015165,456,gated
16,low,0.9266666666666666,0.2580668028195699,0.9133333333333333,0.2534023984273275,0.6952064947427604,22,difficulty,1062408,119.8597873998806,456,gated
16,low,0.9833333333333332,0.0688497230410575,0.9933333333333333,0.013865364889303844,0.7775726164838117,33,difficulty,1062408,100.51375220017508,456,gated
16,low,0.9666666666666668,0.1755242717266082,0.9633333333333334,0.12110116640726726,0.740084697529888,44,difficulty,1062408,116.1978712999262,456,gated
16,low,0.9966666666666668,0.0163611175616582,0.9933333333333333,0.017463189760843913,0.7740441399788658,55,difficulty,1062408,296.412311000051,456,gated
16,low,0.99,0.0454417084654172,1.0,0.008490828971068065,0.7739880300223644,11,difficulty,1062408,245.00604480016045,456,sa_ff_gated
16,low,0.8833333333333333,0.3997952588399251,0.9066666666666666,0.271226806640625,0.6959188403450778,22,difficulty,1062408,412.8608488999307,456,sa_ff_gated
16,low,0.98,0.078633776307106,0.9966666666666667,0.011653746763865153,0.784642982419811,33,difficulty,1062408,291.3099904998671,456,sa_ff_gated
16,low,0.9666666666666668,0.1349932010968526,0.9633333333333334,0.09684068600336711,0.7412399285396948,44,difficulty,1062408,139.8965906999074,456,sa_ff_gated
16,low,0.9933333333333332,0.0221651491522789,0.9966666666666667,0.01591535101334254,0.779350100589102,55,difficulty,1062408,168.3946154001169,456,sa_ff_gated
16,low,0.97,0.0876465644439061,0.9966666666666667,0.014735526392857233,0.7689645723049275,11,difficulty,1062408,100.64921960001811,456,static_scale
16,low,0.9366666666666666,0.2345630995432535,0.9666666666666667,0.12124367117881775,0.7210865207465808,22,difficulty,1062408,216.4197183998768,456,static_scale
16,low,0.98,0.0666270992159843,0.9966666666666667,0.010905199348926545,0.7746951594867508,33,difficulty,1062408,112.30836570006797,456,static_scale
16,low,0.9566666666666668,0.1855477062861124,0.9566666666666667,0.152964346408844,0.7271932440267772,44,difficulty,1062408,109.11312510003336,456,static_scale
