accuracy,block_update_norm,condition,depth,effective_block_count,effective_block_fraction,effective_ff_count,effective_ff_fraction,effective_sa_count,effective_sa_fraction,ff_update_norm,fraction_near_zero_block,fraction_near_zero_ff,fraction_near_zero_sa,fraction_negative_block,fraction_negative_ff,fraction_negative_sa,matched_parameter_control,mean_target_logprob,repair_event_rate,residual_norm_acf_lag1,sa_update_norm,seed,task_family,update_norm_acf_lag1,utility_block,utility_ff,utility_sa,width
0.9333333333333333,4.256239466203583,depth16_width64,16,13,0.8125,11,0.6875,12,0.75,2.5851893143521414,0.41805555555555557,0.5666666666666667,0.5611111111111111,0.12430555555555556,0.10694444444444444,0.13194444444444445,False,-0.2285530482729276,0.0,0.23505676689343696,2.8854975388695796,11,maximum,0.29859952229264003,0.01993689989645241,0.008766639261092576,0.013913968461565673,64
0.9555555555555556,4.260628690736161,depth16_width64,16,13,0.8125,11,0.6875,9,0.5625,2.819442500339614,0.3173611111111111,0.46041666666666664,0.4895833333333333,0.1423611111111111,0.10416666666666667,0.18958333333333333,False,-0.2033227991623183,0.0,0.3444682067401623,2.660803812411096,22,maximum,0.34684300847737987,0.05918991330868772,0.012223003692148874,0.027729129161970276,64
0.9444444444444444,4.578411852982309,depth16_width64,16,12,0.75,4,0.25,10,0.625,2.512407650384638,0.39375,0.6493055555555556,0.5118055555555555,0.10277777777777777,0.07777777777777778,0.12916666666666668,False,-0.15798324863943788,0.0,0.32686023776344275,3.2703841988411213,33,maximum,0.2367977232256332,0.09030929703407714,0.0037488222141594937,0.10336485679727048,64
0.9777777777777777,4.37855708921949,depth16_width64,16,13,0.8125,9,0.5625,14,0.875,2.519276007099284,0.30625,0.49583333333333335,0.41458333333333336,0.12638888888888888,0.12430555555555556,0.13819444444444445,False,-0.09251456740829679,0.0,0.34858030318992456,3.0495175519337256,44,maximum,0.3029441979349132,0.18279820408335784,0.001462068959760169,0.20595700732794486,64
0.9666666666666667,4.459819123811192,depth16_width64,16,14,0.875,15,0.9375,13,0.8125,2.831570982436339,0.38680555555555557,0.59375,0.5347222222222222,0.09166666666666666,0.06944444444444445,0.12638888888888888,False,-0.11152535337540838,0.0,0.25133224760722644,2.8602936630033784,55,maximum,0.19648752739763292,0.09643996001816252,0.015230704197246167,0.05911755389921988,64
0.9444444444444444,4.220482424481047,depth16_width64,16,10,0.625,6,0.375,11,0.6875,2.533759719795651,0.36944444444444446,0.5604166666666667,0.5173611111111112,0.11319444444444444,0.11458333333333333,0.12222222222222222,False,-0.209238338480807,0.0,0.19983436489603465,2.866142769364847,11,minimum,0.2521642303006451,0.23389095550260713,0.0037182262025049163,0.20309979690549274,64
0.9222222222222223,4.061937757084767,depth16_width64,16,11,0.6875,7,0.4375,13,0.8125,2.4279090171058972,0.2722222222222222,0.46875,0.39166666666666666,0.15208333333333332,0.17777777777777778,0.17083333333333334,False,-0.3746128982450399,0.0,0.348683151804188,2.8005621744112834,22,minimum,0.3852056269876003,0.1611542940670107,0.0033307521461716128,0.1889134539058432,64
0.9666666666666667,4.297235563480192,depth16_width64,16,13,0.8125,11,0.6875,12,0.75,2.363236428383324,0.2951388888888889,0.5729166666666666,0.4305555555555556,0.1111111111111111,0.10069444444444445,0.14652777777777778,False,-0.14652070680426227,0.0,0.3870260506929804,3.097755307993955,33,minimum,0.31305562419907396,0.049610270565608516,0.012530443499821962,0.03103216230520047,64
0.9333333333333333,4.263575261831283,depth16_width64,16,12,0.75,9,0.5625,9,0.5625,2.616005932042996,0.26944444444444443,0.43333333333333335,0.3840277777777778,0.15416666666666667,0.12986111111111112,0.21388888888888888,False,-0.2744586159578628,0.0,0.36787257369087456,2.9112923660212093,44,minimum,0.3661700957428871,0.05928012708771146,0.0211509625453295,0.037863469865664634,64
0.9333333333333333,4.280933662421173,depth16_width64,16,13,0.8125,6,0.375,14,0.875,2.6241910388900176,0.36180555555555555,0.5465277777777777,0.4673611111111111,0.12430555555555556,0.14444444444444443,0.13472222222222222,False,-0.16316119715985325,0.0,0.24851430459706939,2.893655283997456,55,minimum,0.20268614169026478,0.06605182228183064,0.004551895077262695,0.08339555789781217,64
0.9222222222222223,8.404660114977094,depth4_width64,4,4,1.0,3,0.75,4,1.0,3.567942977282736,0.030555555555555555,0.15,0.05277777777777778,0.17777777777777778,0.18611111111111112,0.2388888888888889,False,-0.33971024836517044,0.0,0.0828209269243113,6.7661967621909245,11,maximum,0.1553012688569854,0.39862304878058946,0.021869463408883245,0.4207907492864049,64
0.9111111111111111,6.968697669770982,depth4_width64,4,4,1.0,4,1.0,4,1.0,3.8944126033120687,0.011111111111111112,0.058333333333333334,0.03888888888888889,0.16666666666666666,0.19166666666666668,0.2638888888888889,False,-0.36032836313049,0.0,0.16458614288454151,4.888032940361235,22,maximum,0.1797302997063121,0.5160484828624047,0.053484384599141774,0.4532150440616533,64
0.8555555555555555,7.348086653153102,depth4_width64,4,4,1.0,3,0.75,4,1.0,3.760462866889106,0.0,0.03888888888888889,0.03333333333333333,0.16944444444444445,0.2638888888888889,0.24166666666666667,False,-0.5569723188256224,0.0,0.09812423734628181,5.45175443622801,33,maximum,0.10371855488855443,0.5120047526020143,0.02830344986480971,0.5649172124297669,64
0.8444444444444444,7.272178451882469,depth4_width64,4,4,1.0,4,1.0,4,1.0,3.7186407708459432,0.019444444444444445,0.04722222222222222,0.03888888888888889,0.10277777777777777,0.175,0.2222222222222222,False,-0.48669548249906963,0.0,0.14781163410645806,5.33001077969869,44,maximum,0.16867654743675506,0.6384354654026942,0.06883675043678118,0.5568356276127613,64
0.9444444444444444,8.957625601026747,depth4_width64,4,4,1.0,4,1.0,3,0.75,3.6584321515427694,0.05555555555555555,0.1361111111111111,0.11944444444444445,0.1111111111111111,0.1361111111111111,0.22777777777777777,False,-0.22933964940408866,0.0,0.1408322211647626,6.985762451754676,55,maximum,0.12034643103769567,1.073877634630642,0.04224529228587118,1.293828042361161,64
0.8333333333333334,6.710468174351586,depth4_width64,4,4,1.0,4,1.0,4,1.0,3.4916512383355034,0.016666666666666666,0.1388888888888889,0.08055555555555556,0.14166666666666666,0.2361111111111111,0.24166666666666667,False,-0.5635693492988746,0.0,0.0573695374047222,4.740641623073154,11,minimum,0.1662032140970243,0.6923990062955353,0.04372619389711569,0.6759801609234677,64
0.8888888888888888,7.178718484110302,depth4_width64,4,4,1.0,3,0.75,4,1.0,3.6770337402820585,0.03611111111111111,0.10277777777777777,0.05277777777777778,0.20555555555555555,0.26944444444444443,0.21388888888888888,False,-0.40945511170559457,0.0,0.15054926309320663,5.311692751447359,22,minimum,0.1637718693189931,0.299461094967814,0.025415914091798993,0.3089717416713635,64
0.9333333333333333,7.854912030696869,depth4_width64,4,4,1.0,4,1.0,4,1.0,3.6707666801081764,0.016666666666666666,0.03888888888888889,0.03611111111111111,0.12777777777777777,0.13055555555555556,0.2,False,-0.34634334815459117,0.0,0.15562948793085524,5.8315468271573385,33,minimum,0.12388469137755843,0.4276751200151112,0.0640426177945402,0.3038178073707968,64
0.8333333333333334,7.120709364944034,depth4_width64,4,4,1.0,4,1.0,4,1.0,3.3938560528887645,0.002777777777777778,0.044444444444444446,0.03333333333333333,0.10555555555555556,0.21666666666666667,0.19166666666666668,False,-0.48172191871951026,0.0,0.17248836683469967,5.387622126936913,44,minimum,0.2258929248707217,0.5958056251414948,0.06193355284631252,0.5512857405417081,64
0.9333333333333333,7.759196590714985,depth4_width64,4,4,1.0,4,1.0,4,1.0,4.2108069856961565,0.04722222222222222,0.09722222222222222,0.1111111111111111,0.06388888888888888,0.11944444444444445,0.14444444444444443,False,-0.2024626631496681,0.0,0.07916369069539037,5.508153401811918,55,minimum,0.10429311281558411,0.5979649765830901,0.05821306895102478,0.4736595218069851,64
