condition,depth,layer,matched_parameter_control,near_zero_block_seed_count,near_zero_ff_seed_count,near_zero_sa_seed_count,negative_block_seed_count,negative_ff_seed_count,negative_sa_seed_count,reliable_near_zero_block,reliable_near_zero_ff,reliable_near_zero_sa,reliable_negative_block,reliable_negative_ff,reliable_negative_sa,repair_event_ci95_high,repair_event_ci95_low,repair_event_mean,repeated_repair,seed_n,task_family,utility_block_ci95_high,utility_block_ci95_low,utility_block_mean,utility_ff_ci95_high,utility_ff_ci95_low,utility_ff_mean,utility_sa_ci95_high,utility_sa_ci95_low,utility_sa_mean,width
depth16_width32_matched,16,2,True,0,0,0,0,1,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.37996721267700195,0.16241522133350372,0.27119123935699463,0.09353330731391907,0.02412540279328823,0.06167515367269516,0.31164026260375977,0.021163340657949448,0.16640180349349976,32
depth16_width32_matched,16,3,True,0,0,1,0,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.3418530821800232,0.09836064279079437,0.1920243799686432,0.11703962087631226,0.011716244742274284,0.06437793374061584,0.26527488231658936,-0.004021205939352512,0.09935995936393738,32
depth16_width32_matched,16,4,True,0,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.43377336859703064,0.06828224658966064,0.21610887348651886,0.032468102872371674,-0.02105768956243992,0.006781748495995998,0.5266596078872681,0.07111360132694244,0.23286493122577667,32
depth16_width32_matched,16,5,True,0,0,0,1,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.22433380782604218,0.04444631189107895,0.13003286719322205,0.027538007125258446,-0.014099908992648125,0.0067190490663051605,0.21134276688098907,0.055793821811676025,0.1335068643093109,32
depth16_width32_matched,16,6,True,0,0,0,1,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.12873049080371857,0.024681709706783295,0.08460719138383865,0.03877606615424156,-0.0006445497274398804,0.020130282267928123,0.08141635358333588,0.007657967507839203,0.04656278342008591,32
depth16_width32_matched,16,7,True,0,0,1,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.24163606762886047,0.05142622068524361,0.14268340170383453,0.035918720066547394,-0.00942314974963665,0.013169258832931519,0.2544277012348175,0.02319086156785488,0.13383886218070984,32
depth16_width32_matched,16,8,True,0,0,0,1,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.12065719068050385,0.005814855918288231,0.0576011948287487,0.03183812275528908,-0.008527269586920738,0.010230029001832008,0.08371029049158096,0.012147031724452972,0.04393943399190903,32
depth16_width32_matched,16,9,True,0,0,1,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.08945971727371216,0.04031240940093994,0.06327521055936813,0.03433775156736374,0.010294022038578987,0.022529998794198036,0.088484026491642,0.01552495639771223,0.04721740260720253,32
depth16_width32_matched,16,10,True,1,1,0,1,2,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.039783746004104614,-0.0031538945622742176,0.017217740416526794,0.008766120299696922,-0.008303681388497353,1.5797279047546908e-05,0.03646109625697136,0.0006624769303016365,0.01856178790330887,32
depth16_width32_matched,16,11,True,0,0,0,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.07268160581588745,0.0108259916305542,0.04107757657766342,0.042435646057128906,0.013232521712779999,0.02702035941183567,0.027461150661110878,0.0004966612905263901,0.013978905975818634,32
depth16_width32_matched,16,12,True,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.07476858794689178,0.015745367854833603,0.045303743332624435,0.02486489713191986,-0.0009840221609920263,0.011449972167611122,0.07219177484512329,0.006718316115438938,0.0345609076321125,32
depth16_width32_matched,16,13,True,0,0,1,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.03779960051178932,0.012950874865055084,0.025375237688422203,0.02530612051486969,0.0018203321378678083,0.012957463040947914,0.02640124224126339,0.004238661378622055,0.012617143802344799,32
depth16_width32_matched,16,14,True,1,0,1,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.058186888694763184,0.013414129614830017,0.0358005091547966,0.02901943027973175,0.008358369581401348,0.018688898533582687,0.031067434698343277,0.0029055976774543524,0.014522221870720387,32
depth16_width32_matched,16,15,True,0,0,0,1,2,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.041424933820962906,0.004585213493555784,0.021543210372328758,0.022831261157989502,-0.0003299861855339259,0.011252079159021378,0.01858346536755562,-0.0014575573150068521,0.008928830735385418,32
depth16_width32_matched,16,0,True,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.7081471681594849,0.3097440302371979,0.5011274814605713,0.22307416796684265,0.06081753224134445,0.1370784342288971,0.4233767092227936,0.11644860357046127,0.2508436441421509,32
depth16_width32_matched,16,1,True,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.41586560010910034,0.11260607093572617,0.24115951359272003,0.30961233377456665,0.05965174362063408,0.17789342999458313,0.09539443254470825,0.02891705371439457,0.06165672093629837,32
depth16_width32_matched,16,2,True,0,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.6605310440063477,0.29510265588760376,0.46897000074386597,0.07603885233402252,-0.02223004586994648,0.02660355530679226,0.4947492480278015,0.22116787731647491,0.35795858502388,32
depth16_width32_matched,16,3,True,0,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.1853688359260559,0.0771036297082901,0.1268080770969391,0.03481117635965347,-0.026401180773973465,0.005474233068525791,0.1291210949420929,0.06835956126451492,0.09710878133773804,32
depth16_width32_matched,16,4,True,0,0,0,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,1.065931797027588,0.16827890276908875,0.5350235104560852,0.080894336104393,0.019375894218683243,0.04930121451616287,1.1541818380355835,0.11238572746515274,0.5041590332984924,32
depth16_width32_matched,16,5,True,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.4370206296443939,0.20578213036060333,0.30314499139785767,0.055195678025484085,0.0019013613928109407,0.03106999397277832,0.4216085374355316,0.20215347409248352,0.2928416430950165,32
depth16_width32_matched,16,6,True,0,0,0,1,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.25750142335891724,0.02534843049943447,0.12191160023212433,0.04689127951860428,0.0030694359447807074,0.02392956241965294,0.1821293830871582,0.015353793278336525,0.09101851284503937,32
depth16_width32_matched,16,7,True,0,0,0,1,1,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.03633355349302292,-0.0007561236852779984,0.019277583807706833,0.03852332755923271,-0.01234288327395916,0.01466725766658783,0.030849331989884377,-0.02641087770462036,0.002737086731940508,32
depth16_width32_matched,16,8,True,0,1,1,1,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.11321403831243515,0.01610906980931759,0.06466154754161835,0.04286966472864151,-0.0030935981776565313,0.020126331597566605,0.0829816535115242,0.004534552805125713,0.04150143638253212,32
depth16_width32_matched,16,9,True,0,1,0,1,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.28779861330986023,0.013287126086652279,0.12513458728790283,0.04064036160707474,0.004557543434202671,0.02091541513800621,0.31398001313209534,0.01079802680760622,0.12765273451805115,32
