gate_block_above_0_9,gate_block_below_0_5,gate_block_mean,gate_candidate_norm_spearman,gate_ff_above_0_9,gate_ff_below_0_5,gate_ff_mean,gate_sa_above_0_9,gate_sa_below_0_5,gate_sa_mean,gate_utility_block_spearman,gate_utility_ff_spearman,gate_utility_sa_spearman,layer,n,seed,task_family,utility_block_mean,utility_ff_mean,utility_sa_mean,variant
0.2833333333333333,0.25,0.6939358950903018,0.33453737149208124,1.0,0.0,1.0,1.0,0.0,1.0,0.29786051681022513,,,7,60,22,first,0.0037994296406395735,0.0010047760054779549,0.002245466368428121,gated
0.35,0.0,0.8711444546778997,0.7992220061128092,1.0,0.0,1.0,1.0,0.0,1.0,0.18466240622395114,,,7,60,33,first,0.0004138022738819321,0.0008460346531743804,-0.00023683712740118305,gated
0.8833333333333333,0.05,0.9195677208403746,0.2283412058905252,1.0,0.0,1.0,1.0,0.0,1.0,0.17165879410947488,,,7,60,44,first,0.0305808631858478,0.003854484153756251,0.018810265061135093,gated
0.4166666666666667,0.016666666666666666,0.8206425969799359,0.8999722145040291,1.0,0.0,1.0,1.0,0.0,1.0,0.6141150319533205,,,7,60,55,first,0.000651984785993894,0.0002120873813206951,0.0003179177680673699,gated
0.7166666666666667,0.0,0.9080081015825272,0.7508752431230898,1.0,0.0,1.0,1.0,0.0,1.0,0.40255626562934155,,,8,60,11,first,0.000974878358344237,0.0002324077805193762,0.0007183041656389832,gated
0.7,0.05,0.8673549187680085,0.4200055570991943,1.0,0.0,1.0,1.0,0.0,1.0,0.22011669908307868,,,8,60,22,first,0.0035728021951702735,0.002007821089743326,0.004950467570840071,gated
0.25,0.2,0.7299643121659756,0.5303695470964158,1.0,0.0,1.0,1.0,0.0,1.0,0.6286746318421785,,,8,60,33,first,0.0005562468276669581,0.0004529744464283188,-1.4603176775077978e-05,gated
0.7,0.2,0.7870993470152219,0.016337871631008617,1.0,0.0,1.0,1.0,0.0,1.0,0.43267574326201735,,,8,60,44,first,-0.0016344539006240665,-7.991939006994168e-06,-0.0020036346977576613,gated
0.9166666666666666,0.0,0.945262520511945,0.10325090302861907,1.0,0.0,1.0,1.0,0.0,1.0,0.22756321200333432,,,8,60,55,first,0.0008185952824229996,0.00014872510607043902,0.000726461181572328,gated
0.43333333333333335,0.45,0.5902587311031918,0.9261461517088081,1.0,0.0,1.0,1.0,0.0,1.0,0.748485690469575,,,9,60,11,first,0.001556643769921114,0.00024501036386936903,0.0007935847582605978,gated
0.4166666666666667,0.18333333333333332,0.7580543192724387,0.5517643789941652,1.0,0.0,1.0,1.0,0.0,1.0,0.27757710475131986,,,9,60,22,first,0.0008311486919410527,0.0002985268443201979,-0.000264705663236479,gated
0.18333333333333332,0.16666666666666666,0.7366203490644694,0.7115865518199501,1.0,0.0,1.0,1.0,0.0,1.0,0.27852181161433737,,,9,60,33,first,0.0007502199926724037,0.00037078055320307615,0.00027364399672175446,gated
0.2833333333333333,0.26666666666666666,0.6486796519408623,0.7227007502083913,1.0,0.0,1.0,1.0,0.0,1.0,0.5260350097249237,,,9,60,44,first,6.814220687374472e-05,0.0002906262991018593,-0.00031621084393312535,gated
0.5833333333333334,0.11666666666666667,0.8502997358640035,0.17510419560989168,1.0,0.0,1.0,1.0,0.0,1.0,0.3160878021672688,,,9,60,55,first,0.000567480754883339,0.00016288453868279856,0.00044007664158319436,gated
0.38333333333333336,0.15,0.7533600111802419,0.8796888024451238,1.0,0.0,1.0,1.0,0.0,1.0,0.6046123923312032,,,10,60,11,first,0.0005218035231033961,0.00022308905608952044,0.00018050874350592495,gated
0.5333333333333333,0.0,0.8932979106903076,0.666518477354821,1.0,0.0,1.0,1.0,0.0,1.0,0.275465407057516,,,10,60,22,first,0.004113223450258374,0.0017640518529030184,0.0015061864939828714,gated
0.4166666666666667,0.0,0.8498838514089584,0.5580994720755766,1.0,0.0,1.0,1.0,0.0,1.0,0.24451236454570718,,,10,60,33,first,0.0006518857359575728,0.0004914415689806144,0.00020107192685827612,gated
