control,mae,r2,seed,source_layer,target_layer
moment_random,0.172882694953355,-0.1577390811008723,55,1,2
shuffled_goal,0.17273616172168793,-0.16533794417273873,55,1,2
goal_latent,0.14339295623768172,-0.013420932593535273,55,1,3
current_residual,0.1197916453898879,0.31013471296836737,55,1,3
pooled_residual,0.11326242001640277,0.3540587441027627,55,1,3
moment_random,0.1549987738297737,-0.14860242610761265,55,1,3
shuffled_goal,0.1509024628893366,-0.08335470563158043,55,1,3
goal_latent,0.12794456936823895,0.14365501384473056,55,2,3
current_residual,0.11007812565539545,0.3808949564554426,55,2,3
pooled_residual,0.11292565023672209,0.36000129951788296,55,2,3
moment_random,0.15731088848665564,-0.18366292265817674,55,2,3
shuffled_goal,0.1563567452669227,-0.13982253440150805,55,2,3
