ci95_high,ci95_low,layer,mean_correct_minus_incorrect,median_correct_minus_incorrect,metric,model_variant,paired_effect_size_dz,raw_n_correct,raw_n_incorrect,seed_n,std_correct_minus_incorrect,task_family,token_bin
0.010515812784433365,-0.004430001135915518,0,0.003244613064453006,0.006336619850486003,relative_update_norm,baseline,0.32841412860728636,1475,200,5,0.009879639095347432,maximum,5
0.001425021793693304,-0.0033065862953662872,0,-0.000828553456813097,-0.0011251017156341803,representation_direction_cosine,baseline,-0.26225042076576366,1475,200,5,0.003159398007422619,maximum,5
0.0725259929895401,-0.09919972717761993,0,-0.01270739734172821,0.052105660023894274,residual_norm,baseline,-0.11150106017996272,1475,200,5,0.11396660553019379,maximum,5
0.04852995276451111,-0.023624444380402565,0,0.01605900004506111,0.035493388433318174,attention_entropy,baseline,0.35501475278333605,1354,186,5,0.04523474001899253,maximum,6
0.0014466423308476806,-0.023108970373868942,0,-0.010382394306361675,-0.011066060680315709,attention_evidence_mass,baseline,-0.6802280481234442,1354,186,5,0.015263108210553432,maximum,6
0.009921593591570854,-0.019383830949664116,0,-0.004925390239804983,-0.005515200419400096,candidate_cosine,baseline,-0.2701508751256766,1354,186,5,0.018231998091857552,maximum,6
0.003714004997164011,-0.015555272810161114,0,-0.004560721106827259,-0.0024159141996902833,candidate_dominance,baseline,-0.3728931301372654,1354,186,5,0.01223063858845674,maximum,6
0.006837765220552683,-0.00525706959888339,0,0.000731063075363636,0.0012943067210020587,candidate_novelty,baseline,0.09480110952735193,1354,186,5,0.007711545561106648,maximum,6
0.06045687198638916,-0.344163179397583,0,-0.10455183684825897,-0.0069157987388215325,candidate_update_norm,baseline,-0.39835049247361076,1354,186,5,0.2624619244199507,maximum,6
0.06045689433813095,-0.344163179397583,0,-0.10455183684825897,-0.006915804165512629,effective_displacement,baseline,-0.3983504873612689,1354,186,5,0.2624619277883289,maximum,6
0.06045687198638916,-0.344163179397583,0,-0.10455183684825897,-0.0069157987388215325,effective_update_norm,baseline,-0.39835049247361076,1354,186,5,0.2624619244199507,maximum,6
0.006886085961014032,-0.027470190078020096,0,-0.008014830760657787,-0.004112198248283183,relative_update_norm,baseline,-0.37121117167039724,1354,186,5,0.02159102789011493,maximum,6
0.008454544469714165,-0.0028408921789377928,0,0.0021042271982878447,0.0012031028964628598,representation_direction_cosine,baseline,0.2947442600822966,1354,186,5,0.007139162600487337,maximum,6
0.05269378423690796,-0.1831469088792801,0,-0.06522656232118607,-0.14833903156507233,residual_norm,baseline,-0.42104773274635277,1354,186,5,0.15491488790530977,maximum,6
0.0028571125585585833,-0.08692621439695358,0,-0.043501563370227814,-0.037094180745289584,attention_entropy,baseline,-0.7283475556829538,1415,195,5,0.059726380669236204,maximum,7
0.009268751367926598,-0.00023013674945104867,0,0.004501984920352697,0.0019963624854234946,attention_evidence_mass,baseline,0.7300552470547766,1415,195,5,0.006166635934081451,maximum,7
0.008771120570600033,-0.008426012471318245,0,-0.0001236253447132185,-0.005512258716379198,candidate_cosine,baseline,-0.011229340098677876,1415,195,5,0.011009137102168092,maximum,7
