layer_i,layer_j,matrix,model_variant,run_id,seed,source_experiment,task_family,token_scope,value
0,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6364853978157043
0,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.4499973654747009
1,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8443278074264526
1,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
1,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8276947736740112
1,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6334318518638611
2,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6364853978157043
2,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8276947736740112
2,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
2,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7959957718849182
3,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.4499973654747009
3,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6334318518638611
3,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7959957718849182
3,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.1676795482635498
0,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09106197208166122
0,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.17420805990695953
1,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.1676795482635498
1,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
1,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.049096282571554184
1,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.10659393668174744
