correct_partition,layer,mean,median,metric,model_variant,n,run_id,seed,std,task_family,token_bin
True,0,0.20663594512691286,0.2047099769115448,ff_relative_update_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.04171458600114161,maximum,2
True,0,-0.10037895069080215,-0.07261668890714645,ff_state_update_cosine,baseline,269,cycleA-e1-baseline-seed-11,11,0.16479183654261356,maximum,2
True,0,0.9628686676681263,0.9840336441993713,ff_novelty,baseline,269,cycleA-e1-baseline-seed-11,11,0.04588994596648406,maximum,2
True,0,0.17027704245982117,0.16992470622062683,ff_dominance,baseline,269,cycleA-e1-baseline-seed-11,11,0.028292303389491045,maximum,2
True,0,0.14431638178522924,0.16131888329982758,attention_ff_cosine,baseline,269,cycleA-e1-baseline-seed-11,11,0.1218148634275513,maximum,2
True,0,0.23691137727751607,0.23057222366333008,attention_ff_cancellation,baseline,269,cycleA-e1-baseline-seed-11,11,0.039999031782427114,maximum,2
True,0,3.4973815462403137,3.360750675201416,combined_update_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.8330240431860153,maximum,2
True,0,0.7630886227224839,0.7694277763366699,combined_vs_sum_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.039999031782427114,maximum,2
False,0,2.438036157275146,2.244403839111328,attention_update_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.9301173298870477,maximum,3
False,0,0.22212102460973668,0.19413897395133972,attention_relative_update_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.09299311680539946,maximum,3
False,0,-0.012997165638602004,-0.022530045360326767,attention_state_update_cosine,baseline,53,cycleA-e1-baseline-seed-11,11,0.13021987779564534,maximum,3
False,0,0.9831938023837108,0.9908904433250427,attention_novelty,baseline,53,cycleA-e1-baseline-seed-11,11,0.02375049360798608,maximum,3
False,0,0.17747484442760358,0.16257654130458832,attention_dominance,baseline,53,cycleA-e1-baseline-seed-11,11,0.05745957390210656,maximum,3
False,0,2.3190285912099875,2.2444281578063965,ff_update_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.4656570693170227,maximum,3
False,0,0.20364832681305003,0.2022353559732437,ff_relative_update_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.03507029923442416,maximum,3
False,0,-0.1234748400747776,-0.1566011607646942,ff_state_update_cosine,baseline,53,cycleA-e1-baseline-seed-11,11,0.13912917394880675,maximum,3
False,0,0.9657622609498366,0.9664519429206848,ff_novelty,baseline,53,cycleA-e1-baseline-seed-11,11,0.030039973791889156,maximum,3
False,0,0.1685113194135,0.16821610927581787,ff_dominance,baseline,53,cycleA-e1-baseline-seed-11,11,0.023850552943182054,maximum,3
False,0,0.07609948241766894,0.06858658790588379,attention_ff_cosine,baseline,53,cycleA-e1-baseline-seed-11,11,0.11045374171559706,maximum,3
False,0,0.2559321713897417,0.2561906576156616,attention_ff_cancellation,baseline,53,cycleA-e1-baseline-seed-11,11,0.038679379546709504,maximum,3
False,0,3.555492059239801,3.4766106605529785,combined_update_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.8689317798177226,maximum,3
False,0,0.7440678286102583,0.7438093423843384,combined_vs_sum_norm,baseline,53,cycleA-e1-baseline-seed-11,11,0.0386793795467095,maximum,3
True,0,2.143004487904291,2.0774683952331543,attention_update_norm,baseline,252,cycleA-e1-baseline-seed-11,11,0.6625911344899023,maximum,3
True,0,0.19376649367549117,0.18380671739578247,attention_relative_update_norm,baseline,252,cycleA-e1-baseline-seed-11,11,0.06012400124013772,maximum,3
True,0,-0.02086302829122851,-0.033648114651441574,attention_state_update_cosine,baseline,252,cycleA-e1-baseline-seed-11,11,0.13184776669783035,maximum,3
True,0,0.9822498843783424,0.9899317026138306,attention_novelty,baseline,252,cycleA-e1-baseline-seed-11,11,0.021581894566650304,maximum,3
True,0,0.16031580184778524,0.15526750683784485,attention_dominance,baseline,252,cycleA-e1-baseline-seed-11,11,0.03996267347701582,maximum,3
True,0,2.315315666652861,2.3273684978485107,ff_update_norm,baseline,252,cycleA-e1-baseline-seed-11,11,0.42348187118601943,maximum,3
True,0,0.2052929044242889,0.2025790810585022,ff_relative_update_norm,baseline,252,cycleA-e1-baseline-seed-11,11,0.03470049638953548,maximum,3
True,0,-0.07917044139541095,-0.07139141857624054,ff_state_update_cosine,baseline,252,cycleA-e1-baseline-seed-11,11,0.14005992558395422,maximum,3
True,0,0.9741931025471006,0.9844628572463989,ff_novelty,baseline,252,cycleA-e1-baseline-seed-11,11,0.028475218704455088,maximum,3
True,0,0.16965001280463876,0.1684538498520851,ff_dominance,baseline,252,cycleA-e1-baseline-seed-11,11,0.023597178213886225,maximum,3
True,0,0.09297029648552693,0.09653987362980843,attention_ff_cosine,baseline,252,cycleA-e1-baseline-seed-11,11,0.13098466214245774,maximum,3
