ci95_high,ci95_low,layer,median,metric,replicated,seed_n,standardized_mean,std,task_family
0.18414714932441711,-0.35841044783592224,0,0.057929279799433755,attention_entropy_wasserstein,False,5,-0.06383264064788818,0.35287348283181263,maximum
0.4078252911567688,-0.5086488723754883,0,0.10943694190753235,attention_entropy_w4_rolling_variance,False,5,-0.005472349934279919,0.5539464739152422,maximum
0.3943949341773987,-0.28944918513298035,0,-0.1006364876592076,attention_entropy_w4_rolling_abs_skewness,False,5,0.004203603137284517,0.4356820006789867,maximum
0.2948013246059418,-0.21008071303367615,0,0.051030934069905914,attention_entropy_w4_rolling_abs_kurtosis,False,5,0.06755010038614273,0.3352205650361848,maximum
0.34820741415023804,-0.24902546405792236,0,0.21416568902287722,attention_entropy_w8_rolling_variance,False,5,0.08201271295547485,0.37469078335191297,maximum
0.026277881115674973,-0.5534268617630005,0,-0.2520230333501513,attention_entropy_w8_rolling_abs_skewness,False,5,-0.2579347491264343,0.3879857972338856,maximum
0.48473867774009705,-0.19054117798805237,0,0.18468122987815747,attention_entropy_w8_rolling_abs_kurtosis,False,5,0.14709874987602234,0.44742690521366085,maximum
0.15541532635688782,-0.10926523059606552,0,0.07111049617803536,attention_entropy_w16_rolling_variance,False,5,0.024339379742741585,0.1763742854492298,maximum
0.39841127395629883,-0.24017906188964844,0,-0.16625521009214536,attention_entropy_w16_rolling_abs_skewness,False,5,0.049801331013441086,0.4030370768780489,maximum
0.2908233404159546,-0.45450305938720703,0,-0.4048653435592614,attention_entropy_w16_rolling_abs_kurtosis,False,5,-0.10226893424987793,0.47908391181410875,maximum
0.28862252831459045,-0.035521216690540314,0,0.15852301633649898,residual_vector_mean_shift,False,5,0.1337459534406662,0.19889743858887426,maximum
0.17455582320690155,-0.24658453464508057,0,-0.009382652969744224,residual_covariance_drift,False,5,-0.0261971615254879,0.2503981379509402,maximum
0.2908133864402771,-0.15371963381767273,0,0.13303928465021317,residual_wasserstein_norm,False,5,0.07962513715028763,0.27862331220050524,maximum
