family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,12,33,first__last,-0.0005419534398242831,-0.0003514051165742179,-0.00015605345834046602
60,12,44,first__last,-5.3337585025777416e-05,-0.00018967716799428064,0.00010807811049744487
60,12,55,first__last,-1.5486070575813454e-05,-7.3804403655231e-05,4.710133653134108e-05
60,13,11,first__last,-0.000582806603051722,-0.0006545325314315657,0.00019669283259039124
60,13,22,first__last,-0.0021210715911972027,-0.0024903286364860834,0.0001723743276670575
60,13,33,first__last,-0.00037378304405137895,-0.0003810437163338065,3.453518341605862e-05
60,13,44,first__last,0.0001443080953322351,-9.738878579810262e-05,0.00025474068243056534
60,13,55,first__last,-7.764154967541496e-05,1.15515625414749e-05,-8.906854394202431e-05
60,14,11,first__last,0.0009018784970976412,0.0006662262681250771,0.0001619114656932652
60,14,22,first__last,-0.0021626755323571464,-0.0019787716718080144,-0.00011546051052088538
60,14,33,first__last,-0.00039403558087845644,-0.00046115420603503785,5.006514644871155e-06
60,14,44,first__last,9.983625107755264e-05,0.00022827905680363378,-9.798075382908186e-05
60,14,55,first__last,-6.338967165599266e-05,-3.046053849781553e-05,-2.9925544125338396e-05
60,15,11,first__last,0.0005153684255977471,0.0005584839265793562,-0.00016164535578961175
60,15,22,first__last,-0.0005801948175455133,-0.000616059797660758,-9.005524528523286e-06
60,15,33,first__last,-0.0003769863707323869,-0.0002028795269628366,-0.00015539296825105945
60,15,44,first__last,-0.00010659478527183333,-0.00015321560204029083,4.661620672171315e-05
60,15,55,first__last,-9.723922315364082e-05,-3.951803082600236e-05,-4.8982538282871245e-05
60,0,11,first__middle,0.06891388771667456,-0.006618770541778455,0.007135917032913616
60,0,22,first__middle,-0.12584780503530055,0.0005940233240835369,-0.021365700867803147
60,0,33,first__middle,0.12781560987544557,0.0009166087062718967,0.02543579990354677
60,0,44,first__middle,-1.5035838932109375,0.028857581530852865,-1.183090213693989
60,0,55,first__middle,0.0014800799816536406,0.0009868734477398297,-0.0010668918451604743
60,1,11,first__middle,-0.6455892656308909,-6.4589781686663624e-06,-0.06575143826194108
60,1,22,first__middle,0.48467798366133746,-0.0004880698630586267,0.2942169563495554
